City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-07-29 01:24:52,-9.8,-139.0333,76.51,78,40,22.86
1,Kaiyuan,CN,2022-07-29 01:24:53,23.6977,103.3037,72.5,83,74,1.74
2,Juba,SS,2022-07-29 01:24:53,4.8517,31.5825,67.66,96,89,1.97
3,Albany,US,2022-07-29 01:22:08,42.6001,-73.9662,76.41,80,3,6.26
4,Tessalit,ML,2022-07-29 01:24:53,20.1986,1.0114,89.56,34,100,10.29
5,Rikitea,PF,2022-07-29 01:22:42,-23.1203,-134.9692,73.44,75,8,20.76
6,Bukan,IR,2022-07-29 01:24:54,36.521,46.2089,73.81,53,0,3.6
7,Kodiak,US,2022-07-29 01:24:54,57.79,-152.4072,65.71,39,0,4.61
8,Nouadhibou,MR,2022-07-29 01:24:54,20.931,-17.0347,73.38,78,4,24.16
9,Dharchula,IN,2022-07-29 01:24:55,29.85,80.5333,72.34,93,100,0.22
10,Vao,NC,2022-07-29 01:24:55,-22.6667,167.4833,69.73,64,33,12.1
11,Wilmington,US,2022-07-29 01:24:55,34.2257,-77.9447,83.91,80,72,5.01
12,Howard Springs,AU,2022-07-29 01:24:56,-12.497,131.047,80.98,51,43,11.18
13,Hovd,MN,2022-07-29 01:24:56,48.0056,91.6419,66.51,34,17,2.04
14,Les Cayes,HT,2022-07-29 01:24:56,18.2,-73.75,77.4,81,51,4.61
15,Porto Belo,BR,2022-07-29 01:24:57,-27.1578,-48.5531,69.75,77,100,6.04
16,Santa Rosa,PH,2022-07-29 01:22:26,14.3122,121.1114,84.09,82,100,8.3
17,Saint-Philippe,RE,2022-07-29 01:24:57,-21.3585,55.7679,65.21,82,37,7.54
18,Hofn,IS,2022-07-29 01:24:57,64.2539,-15.2082,52.23,86,100,3.56
19,Ribeira Grande,PT,2022-07-29 01:24:58,38.5167,-28.7,73.08,79,13,4.14
20,Butaritari,KI,2022-07-29 01:24:58,3.0707,172.7902,82.06,72,89,15.68
21,Port Elizabeth,ZA,2022-07-29 01:24:58,-33.918,25.5701,60.31,70,0,4.61
22,Abu Samrah,SY,2022-07-29 01:24:59,35.3029,37.1841,79.14,31,0,6.4
23,Pundaguitan,PH,2022-07-29 01:24:59,6.3711,126.1689,83.19,75,74,7.2
24,Busselton,AU,2022-07-29 01:24:59,-33.65,115.3333,59.74,61,91,17.78
25,Chokurdakh,RU,2022-07-29 01:20:00,70.6333,147.9167,58.82,33,100,14.34
26,Saint George,US,2022-07-29 01:25:00,37.1041,-113.5841,90.19,37,75,24.16
27,Khatanga,RU,2022-07-29 01:25:00,71.9667,102.5,68.63,50,90,3.18
28,Dingle,PH,2022-07-29 01:25:00,10.9995,122.6711,84.07,78,100,9.46
29,Novyy Urengoy,RU,2022-07-29 01:25:01,66.0833,76.6333,62.98,69,71,5.3
30,Tuktoyaktuk,CA,2022-07-29 01:25:01,69.4541,-133.0374,44.6,87,100,14.97
31,Loralai,PK,2022-07-29 01:25:01,30.3705,68.598,74.75,79,100,1.14
32,New Norfolk,AU,2022-07-29 01:25:01,-42.7826,147.0587,47.7,50,31,7.7
33,Cape Town,ZA,2022-07-29 01:25:02,-33.9258,18.4232,57.61,85,75,21.85
