City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name,Current Description
0,Atuona,PF,76.51,-9.8,-139.0333,Villa Enata,
1,Kaiyuan,CN,72.5,23.6977,103.3037,Dongqi Hotel,
3,Albany,US,76.41,42.6001,-73.9662,,
4,Tessalit,ML,89.56,20.1986,1.0114,,
5,Rikitea,PF,73.44,-23.1203,-134.9692,,
6,Bukan,IR,73.81,36.521,46.2089,,
8,Nouadhibou,MR,73.38,20.931,-17.0347,,
9,Dharchula,IN,72.34,29.85,80.5333,,
11,Wilmington,US,83.91,34.2257,-77.9447,,
12,Howard Springs,AU,80.98,-12.497,131.047,,
14,Les Cayes,HT,77.4,18.2,-73.75,,
16,Santa Rosa,PH,84.09,14.3122,121.1114,,
19,Ribeira Grande,PT,73.08,38.5167,-28.7,,
20,Butaritari,KI,82.06,3.0707,172.7902,,
22,Abu Samrah,SY,79.14,35.3029,37.1841,,
23,Pundaguitan,PH,83.19,6.3711,126.1689,,
26,Saint George,US,90.19,37.1041,-113.5841,,
28,Dingle,PH,84.07,10.9995,122.6711,,
31,Loralai,PK,74.75,30.3705,68.598,,
36,San Onofre,CO,76.08,9.7359,-75.5263,,
39,Cabo San Lucas,MX,90.7,22.8909,-109.9124,,
41,Kapaa,US,84.18,22.0752,-159.319,,
42,Paungde,MM,82.96,18.4833,95.5,,
43,Arraial Do Cabo,BR,71.24,-22.9661,-42.0278,,
45,Hambantota,LK,77.34,6.1241,81.1185,,
47,Avarua,CK,78.85,-21.2078,-159.775,,
48,Ponta Do Sol,PT,72.23,32.6667,-17.1,,
50,Carnarvon,AU,70.95,-24.8667,113.6333,,
52,Portobelo,PA,77.11,9.55,-79.65,,
54,Nhulunbuy,AU,81.21,-12.2333,136.7667,,
55,Jamestown,US,76.59,42.097,-79.2353,,
57,Thompson,CA,73.56,55.7435,-97.8558,,
59,Porto Novo,BJ,76.82,6.4965,2.6036,,
62,Chernyshevskiy,RU,75.34,63.0128,112.4714,,
65,Cayenne,GF,75.24,4.9333,-52.3333,,
72,Gilgit,PK,79.27,35.9221,74.3087,,
73,Sundargarh,IN,81.61,22.1167,84.0333,,
74,Chalmette,US,84.25,29.9427,-89.9634,,
75,Bilma,NE,84.43,18.6853,12.9164,,
78,Hithadhoo,MV,81.7,-0.6,73.0833,,
80,Acapulco,MX,84.02,16.8634,-99.8901,,
81,Port Blair,IN,82.42,11.6667,92.75,,
85,Gurupi,BR,72.43,-11.7292,-49.0686,,
86,Verkhnevilyuysk,RU,80.85,63.4453,120.3167,,
88,Faanui,PF,79.0,-16.4833,-151.75,,
92,Puerto Del Rosario,ES,74.95,28.5004,-13.8627,,
93,Vaini,TO,80.76,-21.2,-175.2,,
94,Poya,NC,75.18,-21.35,165.15,,
96,Aquin,HT,78.08,18.2833,-73.4,,
100,Asau,RO,70.95,46.4333,26.4,,
101,Porto Santo,PT,70.18,33.072,-16.3415,,
102,Enid,US,87.96,36.3956,-97.8784,,
106,Komsomolskiy,UZ,84.92,40.4272,71.7189,,
107,The Valley,AI,82.81,18.217,-63.0578,,
109,Saint Cloud,US,71.24,45.5608,-94.1625,,
113,Buchanan,LR,73.89,5.8808,-10.0467,,
117,Puerto Escondido,MX,83.23,15.85,-97.0667,,
122,Maine-Soroa,NE,78.84,13.2114,12.0241,,
123,Port Hedland,AU,73.45,-20.3167,118.5667,,
125,Nabire,ID,80.65,-3.3667,135.4833,,
127,Belle Fourche,US,80.33,44.6714,-103.8522,,
128,Lufilufi,WS,89.38,-13.8745,-171.5986,,
129,West Wendover,US,92.41,40.7391,-114.0733,,
131,Kahului,US,87.82,20.8947,-156.47,,
133,Aitape,PG,82.04,-3.1374,142.3475,,
136,Lao Cai,VN,80.01,22.4833,103.95,,
137,Road Town,VG,80.69,18.4167,-64.6167,,
138,Martapura,ID,82.49,-3.4167,114.85,,
141,Zhigansk,RU,75.63,66.7697,123.3711,,
142,Idenao,CM,73.56,4.2475,9.0047,,
146,Celestun,MX,83.07,20.8667,-90.4,,
148,Hamilton,US,81.84,39.1834,-84.5333,,
149,Khash,IR,77.68,28.2211,61.2158,,
150,Jefferson City,US,79.9,38.5767,-92.1735,,
151,Great Bend,US,80.73,38.3645,-98.7648,,
152,Hilo,US,83.28,19.7297,-155.09,,
154,Haverhill,US,80.69,42.7762,-71.0773,,
155,Itarema,BR,78.73,-2.9248,-39.9167,,
159,Port-Gentil,GA,73.47,-0.7193,8.7815,,
161,Vostok,RU,82.17,46.4856,135.8833,,
162,Bathsheba,BB,81.21,13.2167,-59.5167,,
163,Sao Filipe,CV,79.34,14.8961,-24.4956,,
166,San Quintin,MX,70.93,30.4833,-115.95,,
167,Avera,US,83.71,33.194,-82.5271,,
168,Axim,GH,75.4,4.8699,-2.2405,,
169,Jiwani,PK,80.62,25.05,61.7417,,
170,Ponta Delgada,PT,72.32,37.7333,-25.6667,,
171,Humaita,BR,76.53,-7.5061,-63.0208,,
175,Makakilo City,US,82.72,21.3469,-158.0858,,
176,Thinadhoo,MV,82.04,0.5333,72.9333,,
177,Iberia,US,82.98,29.9502,-91.7507,,
179,Pyay,MM,83.97,18.8167,95.2167,,
180,Naze,JP,85.12,28.3667,129.4833,,
181,Moerai,PF,73.13,-22.4333,-151.3333,,
182,Pombia,IT,70.25,45.653,8.6336,,
184,Bethel,US,79.86,41.3712,-73.414,,
185,Poum,NC,72.05,-20.2333,164.0167,,
187,Denia,ES,81.75,38.8408,0.1057,,
188,Lagoa,PT,71.74,39.05,-27.9833,,
193,Ambon,ID,78.94,-3.6954,128.1814,,
194,Copala,MX,79.43,16.65,-98.9833,,
199,Katsuura,JP,84.11,35.1333,140.3,,
200,Lumphat,KH,79.16,13.4878,106.9816,,
201,Bridgetown,BB,81.09,13.1,-59.6167,,
206,Valls,ES,79.39,41.2861,1.2499,,
207,Tumaco,CO,76.73,1.7986,-78.8156,,
210,Kamiiso,JP,75.58,41.8167,140.65,,
211,Florianopolis,BR,70.41,-27.6146,-48.5012,,
212,Rosetown,CA,81.66,51.5501,-108.0014,,
214,Manokwari,ID,83.35,-0.8667,134.0833,,
217,Sarakhs,IR,82.04,36.5449,61.1577,,
218,Petropavlovsk-Kamchatskiy,RU,70.39,53.0452,158.6483,,
219,Marinette,US,72.05,45.1,-87.6307,,
220,Gambela,ET,72.39,8.25,34.5833,,
223,Tura,IN,77.36,25.5198,90.2201,,
225,Cosio,MX,70.93,22.35,-102.3,,
227,Bucerias,MX,85.98,20.75,-105.3333,,
232,Alofi,NU,78.69,-19.0595,-169.9187,,
239,Bengkulu,ID,81.79,-3.8004,102.2655,,
241,Olinda,BR,74.93,-8.0089,-34.8553,,
242,Vaitape,PF,79.21,-16.5167,-151.75,,
246,Yakeshi,CN,75.33,49.2833,120.7333,,
249,Diu,IN,79.86,20.7141,70.9822,,
251,Jalu,LY,82.2,29.0331,21.5482,,
255,Lewistown,US,76.64,40.5992,-77.5714,,
256,Marseille,FR,72.84,43.3333,5.5,,
260,Yumen,CN,82.27,40.2833,97.2,,
261,Springdale,US,86.68,36.1867,-94.1288,,
264,Bonthe,SL,74.88,7.5264,-12.505,,
265,Harper,LR,74.34,4.375,-7.7169,,
266,Kloulklubed,PW,84.7,7.0419,134.2556,,
267,Kamakwie,SL,71.08,9.5,-12.2333,,
268,Gushikawa,JP,88.83,26.3544,127.8686,,
269,Ingleside,US,87.8,27.8778,-97.2117,,
270,Newburgh,US,81.37,41.5034,-74.0104,,
271,Broome,US,71.98,42.2506,-75.833,,
272,Nanakuli,US,84.15,21.3906,-158.1547,,
273,Hami,CN,92.3,42.8,93.45,,
274,Cravo Norte,CO,71.08,6.3017,-70.2041,,
277,Mitsamiouli,KM,75.76,-11.3847,43.2844,,
278,Kavaratti,IN,80.71,10.5669,72.642,,
279,Leninskoye,KZ,81.1,41.7589,69.3864,,
280,Pacific Grove,US,73.22,36.6177,-121.9166,,
281,Nola,IT,79.21,40.922,14.5329,,
283,Kavieng,PG,84.76,-2.5744,150.7967,,
284,Dingzhou,CN,80.71,38.5131,114.9956,,
285,Mogadishu,SO,75.79,2.0371,45.3438,,
292,Carutapera,BR,75.87,-1.195,-46.02,,
294,Sao Miguel Do Araguaia,BR,73.62,-13.275,-50.1628,,
296,Kachiry,KZ,71.04,53.0675,76.1036,,
297,Xinyu,CN,88.7,27.8043,114.9334,,
300,Jining,CN,83.14,35.405,116.5814,,
302,Georgetown,MY,84.13,5.4112,100.3354,,
303,Black Diamond,US,93.2,47.3087,-122.0032,,
304,Kottagudem,IN,81.21,17.55,80.6333,,
305,Pochutla,MX,80.82,15.7432,-96.4661,,
307,Veseloyarsk,RU,74.97,51.2836,81.1056,,
308,Touros,BR,75.76,-5.1989,-35.4608,,
309,Tokuyama,JP,89.22,34.05,131.8167,,
310,Tautira,PF,77.49,-17.7333,-149.15,,
313,Sao Jose Da Coroa Grande,BR,73.42,-8.8978,-35.1478,,
316,Sibenik,HR,73.38,43.7272,15.9058,,
317,Samarai,PG,79.36,-10.6167,150.6667,,
318,Tanete,ID,83.86,-3.9443,119.7848,,
327,Mareeba,AU,72.45,-17.0,145.4333,,
329,Tevaitoa,PF,79.21,-16.7833,-151.5,,
331,Padang,ID,73.45,-0.9492,100.3543,,
332,La Ronge,CA,77.25,55.1001,-105.2842,,
334,Japura,ID,78.04,-0.3167,102.35,,
337,Najran,SA,84.85,17.4924,44.1277,,
338,Galesong,ID,82.42,-5.3166,119.3661,,
339,Dumabato,PH,85.98,16.3167,121.7,,
340,Payo,ID,82.42,-3.7508,103.6372,,
341,Banda Aceh,ID,76.28,5.5577,95.3222,,
342,Victoria,HK,91.96,22.2855,114.1577,,
343,Tarn Taran,IN,80.62,31.45,74.9253,,
347,Erenhot,CN,86.43,43.6475,111.9767,,
351,Ranong,TH,80.53,9.9658,98.6348,,
353,Marsaxlokk,MT,81.09,35.8419,14.5431,,
354,Robertson,US,79.25,36.5167,-86.8667,,
356,Sawakin,SD,89.8,19.1059,37.3321,,
357,San Patricio,US,87.84,28.017,-97.5169,,
358,Shu,KZ,81.07,43.5983,73.7614,,
359,Alim,PH,83.75,9.5649,122.4876,,
362,Saint-Georges,GD,80.28,12.0564,-61.7485,,
367,Palmas,BR,71.47,-10.2128,-48.3603,,
368,North Bend,US,72.91,43.4065,-124.2243,,
369,Batagay-Alyta,RU,82.65,67.8006,130.4114,,
374,Sao Domingos Do Maranhao,BR,75.06,-5.5758,-44.3853,,
375,Cockburn Town,TC,81.54,21.4612,-71.1419,,
376,Kimbe,PG,90.77,-5.5502,150.1429,,
377,Isangel,VU,76.78,-19.55,169.2667,,
379,Adrar,MR,91.0,20.5022,-10.0711,,
380,Yerbogachen,RU,74.66,61.2767,108.0108,,
381,Manado,ID,86.77,1.487,124.8455,,
384,Port Hardy,CA,75.38,50.6996,-127.4199,,
387,Lewiston,US,72.05,44.1003,-70.2148,,
388,Khandyga,RU,84.49,62.6667,135.6,,
391,Iracoubo,GF,76.78,5.4802,-53.2011,,
392,Bud,US,80.58,39.447,-86.1758,,
394,Omboue,GA,70.34,-1.5746,9.2618,,
396,Tual,ID,78.37,-5.6667,132.75,,
397,Tomatlan,MX,76.59,19.9333,-105.25,,
398,Tahta,EG,84.52,26.7693,31.5021,,
400,Turkmenabat,TM,73.38,39.0733,63.5786,,
402,Salalah,OM,75.29,17.0151,54.0924,,
403,Yarmouth,US,79.27,41.7057,-70.2286,,
406,Kieta,PG,83.37,-6.2167,155.6333,,
409,Boa Vista,BR,78.78,2.8197,-60.6733,,
410,Champerico,GT,77.27,14.3,-91.9167,,
411,Dicabisagan,PH,87.49,17.0818,122.4157,,
414,Nikolayevsk-Na-Amure,RU,81.55,53.1406,140.73,,
415,Kutum,SD,75.09,14.2,24.6667,,
417,Sulangan,PH,84.29,11.1373,123.7228,,
420,Vila Velha,BR,71.55,-20.3297,-40.2925,,
424,Weihai,CN,81.03,37.5017,122.1136,,
425,Mackenzie,CA,89.82,55.2999,-123.1698,,
426,Udachnyy,RU,77.45,66.4167,112.4,,
427,Verkhniy Baskunchak,RU,76.66,48.2256,46.7217,,
431,Coari,BR,76.42,-4.085,-63.1414,,
432,Bandarbeyla,SO,76.24,9.4942,50.8122,,
433,Casa Nova,BR,74.05,-9.4167,-41.1333,,
434,Sabang,ID,79.12,5.8933,95.3214,,
442,Riyadh,SA,91.54,24.6877,46.7219,,
447,Placido De Castro,BR,74.8,-10.3353,-67.1856,,
448,Rabo De Peixe,PT,71.11,37.8,-25.5833,,
449,Guerrero Negro,MX,70.48,27.9769,-114.0611,,
451,Baghdad,IQ,82.31,33.3406,44.4009,,
452,Aswan,EG,87.1,24.0934,32.907,,
455,Ishigaki,JP,84.33,24.3448,124.1572,,
457,Kiunga,PG,77.47,-6.1219,141.2906,,
459,Jian,CN,92.26,27.1172,114.9793,,
460,Sao Joao Da Barra,BR,70.11,-21.6403,-41.0511,,
462,Sola,VU,80.1,-13.8833,167.55,,
463,Guymon,US,82.4,36.6828,-101.4816,,
464,Jishou,CN,86.34,28.3167,109.7167,,
465,Pontian Kecil,MY,80.92,1.4801,103.3899,,
466,Tiznit,MA,73.04,29.5833,-9.5,,
469,Kailua,US,84.18,21.4022,-157.7394,,
472,Manavalakurichi,IN,78.98,8.1333,77.3,,
474,Kalmunai,LK,76.95,7.4167,81.8167,,
475,Zhangye,CN,82.56,38.9342,100.4517,,
476,Hasaki,JP,91.29,35.7333,140.8333,,
477,Aksu,CN,85.51,41.1231,80.2644,,
478,Srandakan,ID,80.19,-7.9386,110.2506,,
479,Svetlaya,RU,72.55,46.5389,138.3297,,
482,Sakaiminato,JP,91.33,35.55,133.2333,,
485,Wuwei,CN,83.34,37.9281,102.6414,,
488,Alyangula,AU,77.2,-13.8483,136.4192,,
489,Yashan,CN,88.34,22.1975,109.9419,,
492,Mantua,IT,72.95,45.1667,10.7833,,
494,Nakusp,CA,88.14,50.2499,-117.8023,,
495,Nikolayevskaya,RU,73.76,47.6139,41.5023,,
497,Eyl,SO,75.61,7.9803,49.8164,,
500,Tanout,NE,76.37,14.9709,8.8879,,
501,Manthani,IN,82.09,18.65,79.6667,,
502,Morant Bay,JM,83.82,17.8815,-76.4093,,
503,Mabaruma,GY,75.33,8.2,-59.7833,,
505,Lexington,US,80.6,37.9887,-84.4777,,
511,Auki,SB,86.63,-8.7676,160.7034,,
512,Manaure,CO,80.78,11.7751,-72.4445,,
513,Terney,RU,78.3,45.0503,136.6092,,
520,Upata,VE,77.2,8.0086,-62.3989,,
521,Salto Del Guaira,PY,71.1,-24.0625,-54.3069,,
523,Biak,ID,73.24,-0.9131,122.8766,,
527,Tambacounda,SN,77.86,13.7539,-13.7586,,
529,Clinton,US,75.92,42.587,-82.9199,,
530,Biltine,TD,78.84,14.5333,20.9167,,
532,Jacareacanga,BR,74.35,-6.2222,-57.7528,,
535,Kupang,ID,82.74,-10.1667,123.5833,,
537,Ust-Nera,RU,71.08,64.5667,143.2,,
538,Sampit,ID,84.06,-2.5333,112.95,,
539,Ugoofaaru,MV,81.32,5.6667,73.0,,
540,Conway,US,85.84,35.0887,-92.4421,,
541,Veinte De Noviembre,MX,78.49,14.9833,-92.25,,
543,Darnah,LY,78.04,32.767,22.6367,,
544,Kununurra,AU,78.78,-15.7667,128.7333,,
545,Beyneu,KZ,74.43,45.3167,55.2,,
546,Aloleng,PH,85.3,16.1307,119.7824,,
548,Mumford,GH,75.04,5.2618,-0.759,,
549,Vila Franca Do Campo,PT,72.01,37.7167,-25.4333,,
557,Hobyo,SO,75.34,5.3505,48.5268,,
559,Buala,SB,85.08,-8.145,159.5921,,
560,Amapa,BR,70.75,1.0,-52.0,,
561,Constantine,DZ,76.41,36.365,6.6147,,
563,Roebourne,AU,75.33,-20.7833,117.1333,,
566,Manzhouli,CN,74.39,49.6,117.4333,,
568,Nalbari,IN,84.18,26.4456,91.4354,,
572,Galveston,US,87.94,29.3669,-94.9669,,
574,Kihei,US,87.82,20.785,-156.4656,,
576,Gat,IL,82.4,31.61,34.7642,,
578,Kangar,MY,78.76,6.4414,100.1986,,
579,Ninghai,CN,86.41,29.2892,121.4247,,
587,Sao Felix Do Xingu,BR,72.39,-6.6447,-51.995,,
588,Karratha,AU,76.3,-20.7377,116.8463,,
592,Payson,US,87.42,40.0444,-111.7321,,
593,Festus,US,73.98,38.2206,-90.396,,
594,Anito,PH,85.93,12.4497,125.2886,,
595,Lazaro Cardenas,MX,80.28,17.9583,-102.2,,
