City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2022-07-27 02:13:21,-8.9266,125.4092,69.71,44,60,5.32
1,Carnarvon,AU,2022-07-27 02:16:27,-24.8667,113.6333,68.07,34,100,5.37
2,Mumbwa,ZM,2022-07-27 02:16:28,-14.9783,27.0619,52.86,70,0,4.92
3,Cape Town,ZA,2022-07-27 02:15:03,-33.9258,18.4232,52.12,87,20,1.99
4,Norman Wells,CA,2022-07-27 02:16:09,65.282,-126.8329,57.24,94,100,11.5
5,Nikolskoye,RU,2022-07-27 02:16:28,59.7035,30.7861,65.8,90,100,4.9
6,Mataura,NZ,2022-07-27 02:15:50,-46.1927,168.8643,47.48,96,100,5.41
7,Albany,US,2022-07-27 02:12:59,42.6001,-73.9662,65.17,84,0,4.18
8,Sunrise Manor,US,2022-07-27 02:16:29,36.2111,-115.0731,94.51,36,75,12.66
9,East London,ZA,2022-07-27 02:16:29,-33.0153,27.9116,64.9,46,30,8.52
10,Qaanaaq,GL,2022-07-27 02:16:30,77.484,-69.3632,39.54,71,40,0.81
11,Busselton,AU,2022-07-27 02:16:30,-33.65,115.3333,55.35,73,100,8.37
12,Plettenberg Bay,ZA,2022-07-27 02:16:30,-34.0527,23.3716,57.11,72,91,10.63
13,Turbat,PK,2022-07-27 02:16:31,26.0023,63.044,81.12,83,93,2.42
14,Cayenne,GF,2022-07-27 02:16:31,4.9333,-52.3333,76.08,1,0,2.3
15,Ballina,AU,2022-07-27 02:16:31,-28.8667,153.5667,62.78,44,0,10.96
16,Tuktoyaktuk,CA,2022-07-27 02:16:32,69.4541,-133.0374,64.4,52,20,25.32
17,San Patricio,US,2022-07-27 02:16:32,28.017,-97.5169,86.09,64,100,13.87
18,Arraial Do Cabo,BR,2022-07-27 02:16:16,-22.9661,-42.0278,70.3,86,0,16.28
19,Oudtshoorn,ZA,2022-07-27 02:16:32,-33.5907,22.2014,52.16,61,93,3.74
20,Pangnirtung,CA,2022-07-27 02:14:33,66.1451,-65.7125,46.26,81,32,2.35
21,Vaini,TO,2022-07-27 02:16:33,-21.2,-175.2,74.05,72,100,12.62
22,Tartus,SY,2022-07-27 02:16:33,34.889,35.8866,78.06,68,0,3.87
23,Bluff,NZ,2022-07-27 02:16:33,-46.6,168.3333,47.8,91,100,20.31
24,Lichtenburg,ZA,2022-07-27 02:16:34,-26.152,26.1597,50.23,65,0,8.79
25,Qianan,CN,2022-07-27 02:16:34,44.9932,124.0581,83.28,56,100,13.78
26,Bilma,NE,2022-07-27 02:13:19,18.6853,12.9164,87.69,12,49,5.37
27,Port Alfred,ZA,2022-07-27 02:16:34,-33.5906,26.891,61.18,65,44,5.01
28,Turtas,RU,2022-07-27 02:16:35,58.9417,69.1325,59.59,68,80,7.72
29,Invermere,CA,2022-07-27 02:16:35,50.5167,-116.0354,84.36,28,12,1.81
30,Point Pedro,LK,2022-07-27 02:16:35,9.8167,80.2333,82.47,75,67,5.23
31,Port Hedland,AU,2022-07-27 02:16:35,-20.3167,118.5667,84.25,21,0,18.41
32,Saint George,US,2022-07-27 02:16:36,37.1041,-113.5841,94.62,31,40,11.5
33,Namatanai,PG,2022-07-27 02:16:36,-3.6667,152.4333,84.99,63,52,7.83
34,Muros,ES,2022-07-27 02:16:36,42.7762,-9.0603,62.1,82,0,11.12
35,Luderitz,NA,2022-07-27 02:16:37,-26.6481,15.1594,54.0,77,0,5.17
36,Castro,BR,2022-07-27 02:15:49,-24.7911,-50.0119,54.55,81,2,4.23
37,Ribeira Grande,PT,2022-07-27 02:16:37,38.5167,-28.7,74.14,85,38,8.72
38,Weatherford,US,2022-07-27 02:15:05,32.7593,-97.7972,96.1,32,3,1.01
39,Alice Springs,AU,2022-07-27 02:16:38,-23.7,133.8833,56.75,33,0,16.11
40,Ajaccio,FR,2022-07-27 02:13:35,42.0,8.9167,71.65,83,0,2.3
41,Nome,US,2022-07-27 02:16:18,64.5011,-165.4064,48.27,71,75,17.27
42,Kapaa,US,2022-07-27 02:16:38,22.0752,-159.319,85.98,73,100,17.27
43,Carpi,IT,2022-07-27 02:16:38,44.7824,10.8777,73.74,86,13,2.64
44,Butaritari,KI,2022-07-27 02:16:00,3.0707,172.7902,82.08,75,6,18.75
45,Osypenko,UA,2022-07-27 02:17:39,46.9136,36.8253,62.22,89,33,6.93
46,Dikson,RU,2022-07-27 02:17:39,73.5069,80.5464,43.34,98,100,23.15
47,Ahipara,NZ,2022-07-27 02:17:40,-35.1667,173.1667,60.28,74,74,10.8
48,Hobart,AU,2022-07-27 02:16:34,-42.8794,147.3294,55.26,68,75,10.36
49,Atuona,PF,2022-07-27 02:17:40,-9.8,-139.0333,77.13,76,15,16.33
50,Alta Floresta,BR,2022-07-27 02:17:40,-9.8756,-56.0861,75.02,42,41,4.18
51,Ushuaia,AR,2022-07-27 02:13:06,-54.8,-68.3,33.46,64,0,8.05
52,Barrow,US,2022-07-27 02:17:41,71.2906,-156.7887,35.62,93,100,12.66
53,Severo-Kurilsk,RU,2022-07-27 02:17:41,50.6789,156.125,55.02,82,98,5.19
54,Punta Arenas,CL,2022-07-27 02:13:22,-53.15,-70.9167,32.11,86,0,12.66
